iter	Passed	Remaining
1233	8041	11508
1234	8044	11497
1235	8048	11486
1236	8051	11475
1237	8053	11461
1238	8055	11449
1239	8057	11436
1240	8059	11423
1241	8061	11410
1242	8064	11399
1243	8065	11385
1244	8069	11374
1245	8072	11363
1246	8076	11354
1247	8078	11341
1248	8081	11330
1249	8085	11319
1250	8087	11307
1251	8090	11295
1252	8093	11284
1253	8098	11275
1254	8101	11265
1255	8105	11254
1256	8107	11241
1257	8109	11229
1258	8112	11218
1259	8114	11206
1260	8116	11193
1261	8119	11181
1262	8121	11169
1263	8124	11158
1264	8128	11148
1265	8131	11137
1266	8135	11127
1267	8137	11115
1268	8139	11102
1269	8141	11090
1270	8144	11079
1271	8146	11067
1272	8150	11056
1273	8152	11044
1274	8154	11032
1275	8157	11021
1276	8160	11010
1277	8163	10999
1278	8166	10988
1279	8168	10976
1280	8172	10966
1281	8175	10956
1282	8179	10946
1283	8182	10935
1284	8185	10925
1285	8188	10913
1286	8191	10902
1287	8196	10894
1288	8198	10883
1289	8201	10871
1290	8203	10859
1291	8205	10847
1292	8207	10835
1293	8209	10823
1294	8211	10811
1295	8216	10803
1296	8227	10802
1297	8236	10800
1298	8240	10790
1299	8243	10779
1300	8245	10768
1301	8248	10756
1302	8251	10746
1303	8254	10735
1304	8258	10727
1305	8262	10717
1306	8266	10707
1307	8267	10694
1308	8269	10682
1309	8272	10672
1310	8275	10661
1311	8277	10649
1312	8280	10639
1313	8283	10628
1314	8286	10617
1315	8288	10605
1316	8290	10594
1317	8293	10583
1318	8295	10572
1319	8298	10561
1320	8302	10552
1321	8305	10542
1322	8307	10530
1323	8311	10520
1324	8313	10508
1325	8314	10497
1326	8316	10485
1327	8320	10475
1328	8321	10463
1329	8323	10451
1330	8326	10441
1331	8329	10430
1332	8331	10418
1333	8334	10409
1334	8338	10399
1335	8340	10387
1336	8341	10375
1337	8345	10366
1338	8348	10356
1339	8350	10345
1340	8353	10334
1341	8355	10323
1342	8358	10313
1343	8361	10303
1344	8366	10294
1345	8369	10285
1346	8373	10275
1347	8377	10266
1348	8380	10256
1349	8384	10247
1350	8386	10236
1351	8390	10226
1352	8393	10216
1353	8395	10205
1354	8398	10195
1355	8400	10184
1356	8403	10174
1357	8406	10164
1358	8409	10155
1359	8413	10145
1360	8415	10134
1361	8418	10123
1362	8420	10112
1363	8425	10105
1364	8427	10094
1365	8429	10083
1366	8431	10072
1367	8434	10062
1368	8436	10050
1369	8438	10040
1370	8440	10029
